/user/as6154/.conda/envs/pytorch/lib/python3.11/site-packages/transformers/optimization.py:407: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
Epoch 2, Loss: 7901508.0
Epoch 2, Loss: 7901738.0
Epoch 2, Loss: 7901817.0
Epoch 2, Loss: 7901774.0
Epoch 2, Loss: 7901714.0
Epoch 2, Loss: 7901667.0
Epoch 2, Loss: 7902227.0
Epoch 2, Loss: 7901822.0
Epoch 2, Loss: 7903294.5
Epoch 2, Loss: 7903520.0
Epoch 2, Loss: 7901714.0
Epoch 2, Loss: 7901747.5
Epoch 2, Loss: 7901684.5
Epoch 2, Loss: 7901652.0
Epoch 2, Loss: 7902211.0
Epoch 2, Loss: 7901803.0
Epoch 2, Loss: 7901785.0
Epoch 2, Loss: 7901850.0
Epoch 2, Loss: 7901849.0
Epoch 2, Loss: 7902005.0
Epoch 2, Loss: 7901552.0
Epoch 2, Loss: 7901695.5
Epoch 2, Loss: 7902034.5
Epoch 2, Loss: 7901767.0
Epoch 2, Loss: 7902441.0
Epoch 2, Loss: 7902095.5
Epoch 2, Loss: 7901751.0
Epoch 2, Loss: 7901110.0
Epoch 2, Loss: 7901948.0
Epoch 2, Loss: 7902871.0
Epoch 2, Loss: 7901347.0
Epoch 2, Loss: 7901789.0
Epoch 2, Loss: 7901404.0
Epoch 2, Loss: 7902995.0
Epoch 2, Loss: 7901638.0
Epoch 2, Loss: 7903298.5
Epoch 2, Loss: 7901771.5
Epoch 2, Loss: 7901978.0
Epoch 2, Loss: 7901970.0
Epoch 2, Loss: 7902341.5
Epoch 2, Loss: 7901651.5
Epoch 2, Loss: 7901580.5
Epoch 2, Loss: 7902990.5
Epoch 2, Loss: 7901078.5
Epoch 2, Loss: 7901752.0
Epoch 2, Loss: 7900974.0
Epoch 2, Loss: 7901993.5
Epoch 2, Loss: 7901687.5
Epoch 2, Loss: 7901720.0
Epoch 2, Loss: 7902616.0
Epoch 2, Loss: 7901928.0
Epoch 2, Loss: 7901749.0
Epoch 2, Loss: 7902128.5
Epoch 2, Loss: 7900059.5
Epoch 2, Loss: 7901874.5
Epoch 2, Loss: 7902801.0
Epoch 2, Loss: 7902386.0
Epoch 2, Loss: 7901866.5
Epoch 2, Loss: 7901892.0
Epoch 2, Loss: 7901606.0
Epoch 2, Loss: 7901990.0
Epoch 2, Loss: 7901838.0
Epoch 2, Loss: 7901314.5
Epoch 2, Loss: 7902360.5
